dataset,noise,budget,budget_fraction,method,method_label,n_seeds,dWGA_mean,dWGA_sem,dWGA_min,dWGA_max,dWGA_neg_pct,noise_precision,minority_query_rate,wga_mean
Waterbirds,uniform20,0.5%,0.005,random,Random,10,0.0008,0.0012,-0.0062,0.0047,30.0,0.1917,0.0625,0.604
Waterbirds,uniform20,0.5%,0.005,loss,Loss,10,-0.0022,0.0047,-0.0265,0.0171,40.0,1.0,0.0,0.6011
Waterbirds,uniform20,0.5%,0.005,entropy,Entropy,10,0.0048,0.0019,-0.0016,0.0156,10.0,0.225,0.425,0.6081
Waterbirds,uniform20,0.5%,0.005,forgetting,Forgetting,10,-0.0114,0.0066,-0.0576,0.0062,60.0,0.3375,0.35,0.6053
Waterbirds,uniform20,0.5%,0.005,margin,Margin,10,0.0088,0.0123,-0.067,0.0763,30.0,1.0,0.0,0.6255
Waterbirds,uniform20,0.5%,0.005,aum,AUM,10,-0.007,0.0106,-0.0841,0.0187,30.0,1.0,0.0,0.6097
Waterbirds,uniform20,0.5%,0.005,confident_learning,Cleanlab,10,0.0088,0.0123,-0.067,0.0763,30.0,1.0,0.0,0.6255
Waterbirds,uniform20,0.5%,0.005,coreset,Coreset-Lite,10,-0.0146,0.0091,-0.0872,0.0187,80.0,0.0667,0.0583,0.602
Waterbirds,uniform20,0.5%,0.005,uncertainty_diversity,Unc+Div-Lite,10,0.0006,0.0058,-0.0202,0.0452,60.0,0.3792,0.1833,0.6173
Waterbirds,uniform20,0.5%,0.005,badge_lite,BADGE-Lite,10,0.0078,0.0072,-0.0234,0.0498,50.0,0.9958,0.0042,0.6245
Waterbirds,uniform20,0.5%,0.005,tracin_val_uncertainty,TracIn-CP (val),10,-0.0065,0.0094,-0.067,0.0467,60.0,0.9958,0.0042,0.6101
Waterbirds,uniform20,0.5%,0.005,tracin_noise_weighted,TracIn-CP (noise),10,-0.016,0.0113,-0.1012,0.0156,70.0,0.9917,0.0042,0.6006
Waterbirds,uniform20,0.5%,0.005,noise_score,NoiseScore,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,noise_score_budget_hybrid,BHC,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,NGC,NGC,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,noise_score_cpba_tc,CPBA-TC,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,CPBA-only,CPBA-only,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,noise_score_tc_only,TC-only,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0097,0.0038,-0.0078,0.0374,10.0,0.325,0.4875,0.6129
Waterbirds,uniform20,0.5%,0.005,oracle_noise_group_balanced,Oracle-GB,10,0.0109,0.0092,-0.0685,0.0312,10.0,1.0,0.5,0.6142
Waterbirds,uniform20,1.0%,0.01,random,Random,10,-0.0042,0.0022,-0.0218,0.0016,70.0,0.1854,0.0542,0.5991
Waterbirds,uniform20,1.0%,0.01,loss,Loss,10,-0.0045,0.0064,-0.0514,0.0202,60.0,0.9979,0.0042,0.5988
