dataset,noise,budget_fraction,method,n_absolute_seeds,absolute_delta_wga,absolute_ci_low,absolute_ci_high,n_paired_loss_seeds,delta_wga_vs_loss,paired_ci_low,paired_ci_high
Waterbirds,uniform20,0.005,random,10,0.008255451713395609,-0.012656904717587845,0.02916780814437906,10,-0.021628572020639468,-0.03945024805089417,-0.0038068959903847614
Waterbirds,uniform20,0.01,random,10,0.00591900311526483,-0.004531071325160178,0.016369077555689837,10,0.004517133956386329,-0.01203049625648975,0.02106476416926241
Waterbirds,uniform20,0.02,random,10,0.016510903426791238,-0.003478312565829318,0.036500119419411794,10,0.009121647291239241,-0.025487627071092336,0.043730921653570815
Waterbirds,uniform20,0.05,random,10,0.0017133956386292896,-0.021173193380510796,0.024599984657769372,10,-0.026308100379219563,-0.05200147439279933,-0.0006147263656397992
Waterbirds,uniform20,0.1,random,10,0.0060747663551401695,-0.02355732362308657,0.03570685633336691,10,-0.0038940809968847586,-0.026640397417542518,0.018852235423772998
Waterbirds,uniform20,0.005,loss,10,0.029884023734035082,0.00035350656352534093,0.05941454090454482,10,0.0,0.0,0.0
Waterbirds,uniform20,0.01,loss,10,0.0014018691588784996,-0.010015325767589671,0.012819064085346669,10,0.0,0.0,0.0
Waterbirds,uniform20,0.02,loss,10,0.007389256135552,-0.008136920139159572,0.022915432410263573,10,0.0,0.0,0.0
Waterbirds,uniform20,0.05,loss,10,0.028021496017848858,0.013755865502842106,0.04228712653285561,10,0.0,0.0,0.0
Waterbirds,uniform20,0.1,loss,10,0.009968847352024931,-0.009735379662619408,0.029673074366669272,10,0.0,0.0,0.0
Waterbirds,uniform20,0.005,entropy,10,0.009345794392523329,-0.00255127984948369,0.02124286863453035,10,-0.020538229341511748,-0.05161860020065305,0.010542141517629559
Waterbirds,uniform20,0.01,entropy,10,0.0003115264797507601,-0.014534167953555178,0.015157220913056697,10,-0.0010903426791277406,-0.02491375203340203,0.022733066675146546
Waterbirds,uniform20,0.02,entropy,10,0.0038940809968847218,-0.015556823857945604,0.023344985851715048,10,-0.003495175138667281,-0.03702786344467533,0.030037513167340768
Waterbirds,uniform20,0.05,entropy,10,0.014641744548286581,-0.018530125379106276,0.04781361447567944,10,-0.013379751469562268,-0.04362218304124066,0.016862680102116126
Waterbirds,uniform20,0.1,entropy,10,0.024143302180685312,-0.010680266934122558,0.05896687129549318,10,0.014174454828660383,-0.019803769603514352,0.04815267926083512
Waterbirds,uniform20,0.005,stratified_random,10,0.00685358255451711,-0.013687041495030961,0.02739420660406518,10,-0.023030441179517972,-0.043919150787010336,-0.002141731572025605
Waterbirds,uniform20,0.01,stratified_random,10,-0.0063862928348909515,-0.01471556990903702,0.0019429842392551175,10,-0.007788161993769449,-0.023746304525711706,0.008169980538172807
Waterbirds,uniform20,0.02,stratified_random,10,0.0012461059190030802,-0.009309049841499554,0.011801261679505713,10,-0.00614315021654892,-0.025236240161885803,0.012949939728787961
Waterbirds,uniform20,0.05,stratified_random,10,0.01464174454828657,-0.0023805262880839118,0.03166401538465705,10,-0.013379751469562278,-0.03839692454769067,0.011637421608566114
Waterbirds,uniform20,0.1,stratified_random,10,0.01993769470404983,-0.005147939857895783,0.04502332926599545,10,0.009968847352024902,-0.010497765888385843,0.030435460592435647
Waterbirds,uniform20,0.005,forgetting,10,0.0009345794392523101,-0.007826549097364324,0.009695707975868943,10,-0.028949444294782765,-0.05347201732584176,-0.004426871263723771
Waterbirds,uniform20,0.01,forgetting,10,-0.008878504672897188,-0.032823209384402835,0.015066200038608462,10,-0.010280373831775689,-0.03457483013040541,0.014014082466854028
Waterbirds,uniform20,0.02,forgetting,10,0.019314641744548243,-0.0018999703695108637,0.04052925385860735,10,0.011925385608996239,-0.021754826428331354,0.04560559764632383
Waterbirds,uniform20,0.05,forgetting,10,0.03255451713395638,0.006048219774783186,0.05906081449312957,10,0.00453302111610753,-0.02068878590769513,0.02975482813991019
Waterbirds,uniform20,0.1,forgetting,10,0.0243729752505681,0.0008470305300444687,0.04789891997109173,10,0.014404127898543173,8.525794881301257e-05,0.028722997848273334
Waterbirds,uniform20,0.005,margin,10,0.029884023734035082,0.00035350656352534093,0.05941454090454482,10,0.0,0.0,0.0
Waterbirds,uniform20,0.01,margin,10,0.0014018691588784996,-0.010015325767589671,0.012819064085346669,10,0.0,0.0,0.0
Waterbirds,uniform20,0.02,margin,10,0.007389256135552,-0.008136920139159572,0.022915432410263573,10,0.0,0.0,0.0
Waterbirds,uniform20,0.05,margin,10,0.028021496017848858,0.013755865502842106,0.04228712653285561,10,0.0,0.0,0.0
Waterbirds,uniform20,0.1,margin,10,0.009968847352024931,-0.009735379662619408,0.029673074366669272,10,0.0,0.0,0.0
Waterbirds,uniform20,0.005,aum,10,0.013395638629283469,-0.016053154219678158,0.0428444314782451,10,-0.016488385104751608,-0.04740054580402181,0.01442377559451859
Waterbirds,uniform20,0.01,aum,10,0.022274143302180673,-0.008520445843066958,0.0530687324474283,10,0.02087227414330217,-0.01600218435238979,0.05774673263899413
Waterbirds,uniform20,0.02,aum,10,0.0116822429906542,0.00027955684258964934,0.02308492913871875,10,0.0042929868551021995,-0.005664421063903342,0.014250394774107741
Waterbirds,uniform20,0.05,aum,10,0.00950155763239873,-0.00695411272312837,0.02595722798792583,10,-0.01851993838545012,-0.03771389378724053,0.0006740170163402892
Waterbirds,uniform20,0.1,aum,10,0.008411214953271021,-0.01502189067311548,0.031844320579657526,10,-0.0015576323987539092,-0.01940131105895233,0.016286046261444514
Waterbirds,uniform20,0.005,confident_learning,10,0.029884023734035082,0.00035350656352534093,0.05941454090454482,10,0.0,0.0,0.0
Waterbirds,uniform20,0.01,confident_learning,10,0.0014018691588784996,-0.010015325767589671,0.012819064085346669,10,0.0,0.0,0.0
Waterbirds,uniform20,0.02,confident_learning,10,0.007389256135552,-0.008136920139159572,0.022915432410263573,10,0.0,0.0,0.0
Waterbirds,uniform20,0.05,confident_learning,10,0.028021496017848858,0.013755865502842106,0.04228712653285561,10,0.0,0.0,0.0
Waterbirds,uniform20,0.1,confident_learning,10,0.009968847352024931,-0.009735379662619408,0.029673074366669272,10,0.0,0.0,0.0
Waterbirds,uniform20,0.005,nn_agreement,10,0.0012461059190031006,-0.012266679198637095,0.014758891036643296,10,-0.028637917815031978,-0.05883868996475358,0.0015628543346896256
Waterbirds,uniform20,0.01,nn_agreement,10,-0.0003115264797508191,-0.0251817633493505,0.024558710389848862,10,-0.0017133956386293195,-0.03020141294014626,0.02677462166288762
Waterbirds,uniform20,0.02,nn_agreement,10,0.0109967465859875,-0.011830191953464332,0.03382368512543933,10,0.003607490450435498,-0.030123972514391056,0.037338953415262055
Waterbirds,uniform20,0.05,nn_agreement,10,-0.00498442367601245,-0.03119948739850298,0.02123064004647808,10,-0.033005919693861296,-0.05310227035604118,-0.01290956903168141
Waterbirds,uniform20,0.1,nn_agreement,10,0.009034267912772578,-0.01608983230054393,0.034158368126089085,10,-0.0009345794392523496,-0.022802416505480327,0.020933257626975624
Waterbirds,uniform20,0.005,nn_label_spreading,10,-0.0026479750778816203,-0.014487512022132627,0.009191561866369387,10,-0.03253199881191669,-0.06395833447198009,-0.0011056631518533006
Waterbirds,uniform20,0.01,nn_label_spreading,10,0.00264797507788159,-0.011534765082798215,0.016830715238561396,10,0.0012461059190030904,-0.02058131930938002,0.0230735311473862
Waterbirds,uniform20,0.02,nn_label_spreading,10,0.012772585669781891,-0.002763294985287096,0.02830846632485088,10,0.00538332953422989,-0.02316266287528028,0.033929321943740064
Waterbirds,uniform20,0.05,nn_label_spreading,10,0.006074766355140171,-0.015547233906648748,0.02769676661692909,10,-0.02194672966270868,-0.044841292457086575,0.0009478331316692123
