dataset,noise,budget_fraction,eligible_method_count,reversal_count
Waterbirds,uniform20,0.005,19,0
Waterbirds,uniform20,0.01,19,0
Waterbirds,uniform20,0.02,19,0
Waterbirds,uniform20,0.05,19,0
Waterbirds,uniform20,0.1,19,3
Waterbirds,minority_high_40,0.005,19,0
Waterbirds,minority_high_40,0.01,19,7
Waterbirds,minority_high_40,0.02,19,7
Waterbirds,minority_high_40,0.05,19,4
Waterbirds,minority_high_40,0.1,19,8
CelebA,uniform20,0.005,19,0
CelebA,uniform20,0.01,19,2
CelebA,uniform20,0.02,19,5
CelebA,uniform20,0.05,19,1
CelebA,uniform20,0.1,19,6
CelebA,minority_high_40,0.005,17,3
CelebA,minority_high_40,0.01,17,3
CelebA,minority_high_40,0.02,17,4
CelebA,minority_high_40,0.05,17,6
CelebA,minority_high_40,0.1,17,6
CivilComments,uniform20,0.005,14,1
CivilComments,uniform20,0.01,14,0
CivilComments,uniform20,0.02,14,1
CivilComments,uniform20,0.05,14,2
CivilComments,uniform20,0.1,14,2
CivilComments,minority_high_40,0.005,14,0
CivilComments,minority_high_40,0.01,14,0
CivilComments,minority_high_40,0.02,14,2
CivilComments,minority_high_40,0.05,14,2
CivilComments,minority_high_40,0.1,14,5
