dataset,noise,budget_fraction,data_seed,expected_pairs,observed_rows,valid_pairs,status,status_counts
Waterbirds,uniform20,0.01,0,10,10,10,complete,"{""complete"": 10}"
Waterbirds,uniform20,0.01,1,10,10,10,complete,"{""complete"": 10}"
Waterbirds,uniform20,0.01,2,10,10,10,complete,"{""complete"": 10}"
Waterbirds,uniform20,0.05,0,10,10,0,infeasible,"{""infeasible"": 10}"
Waterbirds,uniform20,0.05,1,10,10,0,infeasible,"{""infeasible"": 10}"
Waterbirds,uniform20,0.05,2,10,10,0,infeasible,"{""infeasible"": 10}"
Waterbirds,minority_high_40,0.01,0,10,10,10,complete,"{""complete"": 10}"
Waterbirds,minority_high_40,0.01,1,10,10,10,complete,"{""complete"": 10}"
Waterbirds,minority_high_40,0.01,2,10,10,10,complete,"{""complete"": 10}"
Waterbirds,minority_high_40,0.05,0,10,10,0,infeasible,"{""infeasible"": 10}"
Waterbirds,minority_high_40,0.05,1,10,10,0,infeasible,"{""infeasible"": 10}"
Waterbirds,minority_high_40,0.05,2,10,10,0,infeasible,"{""infeasible"": 10}"
CelebA,uniform20,0.01,0,10,10,10,complete,"{""complete"": 10}"
CelebA,uniform20,0.01,1,10,10,10,complete,"{""complete"": 10}"
CelebA,uniform20,0.01,2,10,10,10,complete,"{""complete"": 10}"
CelebA,uniform20,0.05,0,10,10,0,infeasible,"{""infeasible"": 10}"
CelebA,uniform20,0.05,1,10,10,0,infeasible,"{""infeasible"": 10}"
CelebA,uniform20,0.05,2,10,10,0,infeasible,"{""infeasible"": 10}"
CelebA,minority_high_40,0.01,0,10,10,10,complete,"{""complete"": 10}"
CelebA,minority_high_40,0.01,1,10,10,10,complete,"{""complete"": 10}"
CelebA,minority_high_40,0.01,2,10,10,10,complete,"{""complete"": 10}"
CelebA,minority_high_40,0.05,0,10,10,0,infeasible,"{""infeasible"": 10}"
CelebA,minority_high_40,0.05,1,10,10,0,infeasible,"{""infeasible"": 10}"
CelebA,minority_high_40,0.05,2,10,10,0,infeasible,"{""infeasible"": 10}"
CivilComments,uniform20,0.01,0,10,10,10,complete,"{""complete"": 10}"
CivilComments,uniform20,0.01,1,10,10,10,complete,"{""complete"": 10}"
CivilComments,uniform20,0.01,2,10,10,10,complete,"{""complete"": 10}"
CivilComments,uniform20,0.05,0,10,10,0,infeasible,"{""infeasible"": 10}"
CivilComments,uniform20,0.05,1,10,10,0,infeasible,"{""infeasible"": 10}"
CivilComments,uniform20,0.05,2,10,10,0,infeasible,"{""infeasible"": 10}"
CivilComments,minority_high_40,0.01,0,10,10,10,complete,"{""complete"": 10}"
CivilComments,minority_high_40,0.01,1,10,10,10,complete,"{""complete"": 10}"
CivilComments,minority_high_40,0.01,2,10,10,10,complete,"{""complete"": 10}"
CivilComments,minority_high_40,0.05,0,10,10,0,infeasible,"{""infeasible"": 10}"
CivilComments,minority_high_40,0.05,1,10,10,0,infeasible,"{""infeasible"": 10}"
CivilComments,minority_high_40,0.05,2,10,10,0,infeasible,"{""infeasible"": 10}"
