dataset,noise,method,label,mean_dwga
WB,uniform20,random,Random,-0.002619778823106816
WB,uniform20,loss,Loss,-0.012309965393621614
WB,uniform20,entropy,Entropy,0.011744548286604357
WB,uniform20,noise_score,NoiseScore,-0.023035428366178303
WB,uniform20,noise_score_budget_hybrid_v8,NGC,0.018278412112923165
WB,uniform20,noise_score_cpba_only,CPBA-only,-0.017066470494781407
WB,uniform20,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.008983622410565655
WB,uniform20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.015200917310787383
WB,uniform20,oracle_noise_group_balanced,Oracle-GB,0.03614650724247258
WB,minority_high_40,random,Random,0.009255237582112443
WB,minority_high_40,loss,Loss,-0.02656331723894976
WB,minority_high_40,entropy,Entropy,0.05889780411822805
WB,minority_high_40,noise_score,NoiseScore,0.044631673470515484
WB,minority_high_40,noise_score_budget_hybrid_v8,NGC,0.04608621892506094
WB,minority_high_40,noise_score_cpba_only,CPBA-only,0.06806812137790023
WB,minority_high_40,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.06795764345069107
WB,minority_high_40,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.05459391729006498
WB,minority_high_40,oracle_noise_group_balanced,Oracle-GB,0.08895534326626184
CE,uniform20,random,Random,-0.0016184393296205446
CE,uniform20,loss,Loss,0.04539088159312481
CE,uniform20,entropy,Entropy,0.01848885513624381
CE,uniform20,noise_score,NoiseScore,0.07385260479547191
CE,uniform20,noise_score_budget_hybrid_v8,NGC,0.07263783411873138
CE,uniform20,noise_score_cpba_only,CPBA-only,0.06878483986966283
CE,uniform20,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.06813691890277937
CE,uniform20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.06813691890277937
CE,uniform20,oracle_noise_group_balanced,Oracle-GB,0.0855719126066129
CE,minority_high_40,random,Random,0.007066246056782292
CE,minority_high_40,loss,Loss,0.009716088328075672
CE,minority_high_40,entropy,Entropy,0.04712784463397848
CE,minority_high_40,noise_score,NoiseScore,0.10170444366553723
CE,minority_high_40,noise_score_budget_hybrid_v8,NGC,0.10170444366553723
CE,minority_high_40,noise_score_cpba_only,CPBA-only,0.10139898222793416
CE,minority_high_40,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.100263335540237
CE,minority_high_40,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.100263335540237
CE,minority_high_40,oracle_noise_group_balanced,Oracle-GB,0.11410399709207977
CC,uniform20,random,Random,0.0014247903887446595
CC,uniform20,loss,Loss,0.11151398168144297
CC,uniform20,entropy,Entropy,0.00973977986034929
CC,uniform20,noise_score,NoiseScore,0.08393306548359097
CC,uniform20,noise_score_budget_hybrid_v8,NGC,0.08303148003754729
CC,uniform20,noise_score_cpba_only,CPBA-only,0.1210880300485066
CC,uniform20,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.12119323937122156
CC,uniform20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.12119323937122156
CC,uniform20,oracle_noise_group_balanced,Oracle-GB,0.13084477912378706
CC,minority_high_40,random,Random,0.0040078074170461645
CC,minority_high_40,loss,Loss,0.06437215354586852
CC,minority_high_40,entropy,Entropy,0.013610930383864626
CC,minority_high_40,noise_score,NoiseScore,0.05030245826396913
CC,minority_high_40,noise_score_budget_hybrid_v8,NGC,0.05030245826396913
CC,minority_high_40,noise_score_cpba_only,CPBA-only,0.08128822381262195
CC,minority_high_40,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.07741054001301233
CC,minority_high_40,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.07741054001301233
CC,minority_high_40,oracle_noise_group_balanced,Oracle-GB,0.10597143906862022
