noise,method,method_label,dWGA_mean,noise_precision,disagreement_lift,queried_disagreement_mean,queried_high_disagreement_rate,dataset_disagreement_mean
uniform20,random,Random,0.0019,0.1994,0.9961,0.2155,0.1109,0.2163
uniform20,loss,Loss,0.1689,0.9615,0.3945,0.0853,0.0375,0.2163
uniform20,noise_score,NoiseScore,0.112,0.1902,2.059,0.4454,0.2602,0.2163
uniform20,noise_score_budget_hybrid_v8,NGC,0.1044,0.1961,2.1779,0.4712,0.2563,0.2163
uniform20,noise_score_cpba_only,CPBA-only,0.188,0.9163,0.5681,0.1229,0.0591,0.2163
uniform20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,0.1769,0.7598,0.97,0.2098,0.0911,0.2163
uniform20,oracle_noise_group_balanced,Oracle-GB,0.1806,1.0,1.7623,0.3813,0.2707,0.2163
disagreement_natural,random,Random,0.0029,0.107,0.9961,0.2155,0.1109,0.2163
disagreement_natural,loss,Loss,0.0332,0.6791,2.6318,0.5693,0.3278,0.2163
disagreement_natural,noise_score,NoiseScore,0.1073,0.2873,2.1693,0.4693,0.2924,0.2163
disagreement_natural,noise_score_budget_hybrid_v8,NGC,0.1073,0.2873,2.1693,0.4693,0.2924,0.2163
disagreement_natural,noise_score_cpba_only,CPBA-only,0.0946,0.6065,2.5144,0.544,0.3109,0.2163
disagreement_natural,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,0.0839,0.5745,2.5246,0.5462,0.2875,0.2163
disagreement_natural,oracle_noise_group_balanced,Oracle-GB,0.1649,1.0,2.9933,0.6476,0.4317,0.2163
disagreement_matched20,random,Random,0.0031,0.2003,0.9961,0.2155,0.1109,0.2163
disagreement_matched20,loss,Loss,0.088,0.8976,1.7465,0.3778,0.1275,0.2163
disagreement_matched20,noise_score,NoiseScore,0.1865,0.3892,2.1814,0.4719,0.297,0.2163
disagreement_matched20,noise_score_budget_hybrid_v8,NGC,0.1865,0.3892,2.1814,0.4719,0.297,0.2163
disagreement_matched20,noise_score_cpba_only,CPBA-only,0.1537,0.8229,1.8674,0.404,0.167,0.2163
disagreement_matched20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,0.158,0.7318,1.9766,0.4276,0.1789,0.2163
disagreement_matched20,oracle_noise_group_balanced,Oracle-GB,0.234,1.0,2.4666,0.5336,0.3052,0.2163
