dataset,method,method_label,n_seeds,noise_precision,dWGA_mean,dWGA_sem
Waterbirds,random,Random,10,0.1962,-0.0006,0.0044
Waterbirds,loss,Loss,10,0.9933,-0.0111,0.0078
Waterbirds,entropy,Entropy,10,0.2825,0.0109,0.0076
Waterbirds,noise_score,NoiseScore,10,0.6525,-0.0497,0.0198
Waterbirds,noise_score_budget_hybrid_v8,NGC,10,0.32,0.0318,0.0103
Waterbirds,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.4271,0.0482,0.0147
Waterbirds,oracle_noise_group_balanced,Oracle-GB,10,1.0,0.088,0.0153
CelebA,random,Random,10,0.1996,-0.0037,0.0053
CelebA,loss,Loss,10,0.9918,0.0585,0.0061
CelebA,entropy,Entropy,10,0.2322,0.0254,0.0042
CelebA,noise_score,NoiseScore,10,0.179,0.0855,0.0053
CelebA,noise_score_budget_hybrid_v8,NGC,10,0.1704,0.0835,0.0044
CelebA,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.8854,0.0816,0.0063
CelebA,oracle_noise_group_balanced,Oracle-GB,10,1.0,0.1274,0.0055
CivilComments,random,Random,10,0.1994,0.0019,0.0009
CivilComments,loss,Loss,10,0.9615,0.1689,0.0015
CivilComments,entropy,Entropy,10,0.2,0.02,0.0014
CivilComments,noise_score,NoiseScore,10,0.1902,0.112,0.001
CivilComments,noise_score_budget_hybrid_v8,NGC,10,0.1715,0.101,0.0013
CivilComments,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.8824,0.1802,0.0018
CivilComments,oracle_noise_group_balanced,Oracle-GB,10,1.0,0.1806,0.0031
CivilComments(dis),random,Random,10,0.1994,0.0019,0.0009
CivilComments(dis),loss,Loss,10,0.9615,0.1689,0.0015
CivilComments(dis),noise_score,NoiseScore,10,0.1902,0.112,0.001
CivilComments(dis),noise_score_budget_hybrid_v8,NGC,10,0.1961,0.1044,0.0012
CivilComments(dis),noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.7598,0.1769,0.0018
CivilComments(dis),oracle_noise_group_balanced,Oracle-GB,10,1.0,0.1806,0.0031
Waterbirds,forgetting,Forgetting,10,0.5925,0.0271,0.0081
Waterbirds,margin,Margin,10,0.9929,0.0284,0.0059
Waterbirds,aum,AUM,10,0.9938,0.0072,0.0082
Waterbirds,confident_learning,Cleanlab,10,0.9929,0.0284,0.0059
Waterbirds,coreset,Coreset,10,0.0712,-0.012,0.0121
Waterbirds,uncertainty_diversity,Unc+Div,10,0.3483,-0.0184,0.0112
Waterbirds,badge_lite,BADGE,10,0.8233,0.014,0.0135
Waterbirds,tracin_val_uncertainty,TracIn(val),10,0.9758,-0.0555,0.0133
Waterbirds,tracin_noise_weighted,TracIn(noise),10,0.9792,-0.0562,0.0111
