noise,method,method_label,n_seeds,dWGA_mean,disagreement_lift,noise_precision
uniform20,random,Random,10,0.0019,0.9961,0.1994
uniform20,loss,Loss,10,0.1689,0.3945,0.9615
uniform20,noise_score,NoiseScore,10,0.112,2.059,0.1902
uniform20,noise_score_budget_hybrid_v8,NGC,10,0.1044,2.1779,0.1961
uniform20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.1769,0.97,0.7598
uniform20,oracle_noise_group_balanced,Oracle-GB,10,0.1806,1.7623,1.0
disagreement_natural,random,Random,10,0.0029,0.9961,0.107
disagreement_natural,loss,Loss,10,0.0332,2.6318,0.6791
disagreement_natural,noise_score,NoiseScore,10,0.1073,2.1693,0.2873
disagreement_natural,noise_score_budget_hybrid_v8,NGC,10,0.1073,2.1693,0.2873
disagreement_natural,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.0839,2.5246,0.5745
disagreement_natural,oracle_noise_group_balanced,Oracle-GB,10,0.1649,2.9933,1.0
disagreement_matched20,random,Random,10,0.0031,0.9961,0.2003
disagreement_matched20,loss,Loss,10,0.088,1.7465,0.8976
disagreement_matched20,noise_score,NoiseScore,10,0.1865,2.1814,0.3892
disagreement_matched20,noise_score_budget_hybrid_v8,NGC,10,0.1865,2.1814,0.3892
disagreement_matched20,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.158,1.9766,0.7318
disagreement_matched20,oracle_noise_group_balanced,Oracle-GB,10,0.234,2.4666,1.0
