dataset,budget,method,method_label,n_seeds,dWGA_mean,noise_precision,minority_query_rate,group_query_entropy
Waterbirds,1.0%,random,Random,10,-0.0042,0.1854,0.0542,0.7367
Waterbirds,1.0%,loss,Loss,10,-0.0045,0.9979,0.0042,0.6022
Waterbirds,1.0%,entropy,Entropy,10,0.009,0.2625,0.3875,1.2659
Waterbirds,1.0%,noise_score,NoiseScore,10,0.0136,0.4437,0.4333,1.1549
Waterbirds,1.0%,noise_score_budget_hybrid_v8,NGC,10,0.0136,0.4437,0.4333,1.1549
Waterbirds,1.0%,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.0136,0.4437,0.4333,1.1549
Waterbirds,1.0%,oracle_noise_group_balanced,Oracle-GB,10,0.0277,1.0,0.4917,1.3816
Waterbirds,5.0%,random,Random,10,-0.0006,0.1962,0.0529,0.7302
Waterbirds,5.0%,loss,Loss,10,-0.0111,0.9933,0.0046,0.5254
Waterbirds,5.0%,entropy,Entropy,10,0.0109,0.2825,0.3583,1.2563
Waterbirds,5.0%,noise_score,NoiseScore,10,-0.0497,0.6525,0.2562,0.9833
Waterbirds,5.0%,noise_score_budget_hybrid_v8,NGC,10,0.0318,0.32,0.3404,1.1944
Waterbirds,5.0%,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.0482,0.4271,0.3212,1.1873
Waterbirds,5.0%,oracle_noise_group_balanced,Oracle-GB,10,0.088,1.0,0.2008,1.1658
CelebA,1.0%,random,Random,10,0.0,0.201,0.0126,0.8947
CelebA,1.0%,loss,Loss,10,0.0335,0.9864,0.0352,1.074
CelebA,1.0%,entropy,Entropy,10,0.0165,0.2279,0.133,1.1651
CelebA,1.0%,noise_score,NoiseScore,10,0.0685,0.6564,0.133,1.1848
CelebA,1.0%,noise_score_budget_hybrid_v8,NGC,10,0.0685,0.6564,0.133,1.1848
CelebA,1.0%,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.0597,0.7972,0.0972,1.2822
CelebA,1.0%,oracle_noise_group_balanced,Oracle-GB,10,0.055,1.0,0.25,1.3863
CelebA,5.0%,random,Random,10,-0.0037,0.1996,0.0131,0.8998
CelebA,5.0%,loss,Loss,10,0.0585,0.9918,0.0147,0.8553
CelebA,5.0%,entropy,Entropy,10,0.0254,0.2322,0.0833,1.2348
CelebA,5.0%,noise_score,NoiseScore,10,0.0855,0.179,0.0363,1.061
CelebA,5.0%,noise_score_budget_hybrid_v8,NGC,10,0.0835,0.1704,0.0359,1.1179
CelebA,5.0%,noise_score_cpba_tc_v8_fallback,CPBA-TC-Safe,10,0.0816,0.8854,0.0251,1.0298
