dataset,method,label,mean_5epoch,sem_5epoch,mean_30epoch,sem_30epoch,diff_30vs5,diff_ci_low,diff_ci_high,n_pairs
WB,noise_score,NoiseScore,0.0108,0.0073,0.0458,0.0068,0.0350,0.0201,0.0500,100
WB,noise_score_budget_hybrid_v8,NGC,0.0322,0.0053,0.0486,0.0064,0.0164,0.0034,0.0295,100
WB,noise_score_cpba_only,CPBA-only,0.0255,0.0083,0.0599,0.0073,0.0344,0.0195,0.0494,100
WB,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.0385,0.0068,0.0601,0.0068,0.0217,0.0083,0.0350,100
WB,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.0349,0.0064,0.0547,0.0070,0.0198,0.0050,0.0345,100
WB,random,Random,0.0033,0.0025,0.0095,0.0032,0.0062,-0.0009,0.0132,100
WB,loss,Loss,-0.0194,0.0051,0.0054,0.0054,0.0248,0.0133,0.0362,100
WB,entropy,Entropy,0.0353,0.0061,0.0369,0.0065,0.0016,-0.0104,0.0136,100
WB,oracle_noise_group_balanced,Oracle-GB,0.0626,0.0072,0.1067,0.0078,0.0441,0.0319,0.0563,100
CE,noise_score,NoiseScore,0.0878,0.0027,0.0765,0.0036,-0.0113,-0.0156,-0.0070,100
CE,noise_score_budget_hybrid_v8,NGC,0.0872,0.0027,0.0765,0.0036,-0.0107,-0.0149,-0.0064,100
CE,noise_score_cpba_only,CPBA-only,0.0851,0.0031,0.0806,0.0039,-0.0045,-0.0100,0.0010,100
CE,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.0842,0.0031,0.0794,0.0039,-0.0048,-0.0104,0.0007,100
CE,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.0842,0.0031,0.0794,0.0039,-0.0048,-0.0104,0.0007,100
CE,random,Random,0.0027,0.0013,0.0009,0.0016,-0.0018,-0.0052,0.0016,100
CE,loss,Loss,0.0276,0.0027,0.0344,0.0027,0.0068,0.0010,0.0126,100
CE,entropy,Entropy,0.0328,0.0026,0.0228,0.0030,-0.0100,-0.0139,-0.0062,100
CE,oracle_noise_group_balanced,Oracle-GB,0.0998,0.0044,0.0984,0.0044,-0.0014,-0.0068,0.0040,100
CC,noise_score,NoiseScore,0.0671,0.0037,0.0701,0.0042,0.0029,0.0009,0.0050,100
CC,noise_score_budget_hybrid_v8,NGC,0.0667,0.0037,0.0698,0.0042,0.0031,0.0011,0.0052,100
CC,noise_score_cpba_only,CPBA-only,0.1012,0.0063,0.1072,0.0069,0.0060,0.0039,0.0082,100
CC,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.0993,0.0063,0.1042,0.0066,0.0049,0.0028,0.0071,100
CC,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.0993,0.0063,0.1042,0.0066,0.0049,0.0028,0.0071,100
CC,random,Random,0.0027,0.0005,0.0036,0.0006,0.0009,-0.0001,0.0019,100
CC,loss,Loss,0.0879,0.0053,0.0929,0.0054,0.0050,0.0032,0.0068,100
CC,entropy,Entropy,0.0117,0.0009,0.0098,0.0011,-0.0019,-0.0034,-0.0004,100
CC,oracle_noise_group_balanced,Oracle-GB,0.1184,0.0073,0.1238,0.0076,0.0054,0.0026,0.0082,100
