group,method,label,Waterbirds_dwga,Waterbirds_neg_pct,CelebA_dwga,CelebA_neg_pct,CivilComments_dwga,CivilComments_neg_pct
Basic queries,random,Random,+0.0033,51%,+0.0027,29%,+0.0027,28%
Basic queries,loss,Loss,-0.0194,73%,+0.0276,9%,+0.0879,0%
Basic queries,entropy,Entropy,+0.0353,20%,+0.0328,4%,+0.0117,5%
Basic queries,stratified_random,StratifiedRandom,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,
Noise detection,noise_score,NoiseScore,+0.0108,28%,+0.0878,0%,+0.0671,0%
Noise detection,confident_learning,Cleanlab,+0.0066,34%,+0.0222,15%,+0.0537,0%
Noise detection,margin,Margin,+0.0066,34%,+0.0222,15%,+0.0537,0%
,,,,,,,,
Training dynamics,forgetting,Forgetting,+0.0242,28%,+0.0838,0%,+0.0564,0%
Training dynamics,aum,AUM,+0.0039,34%,+0.0106,28%,+0.0458,0%
,,,,,,,,
Diversity + coverage,coreset,Coreset-Lite,-0.0065,49%,+0.0000,0%,+0.0000,0%
Diversity + coverage,uncertainty_diversity,Unc+Div-Lite,+0.0133,45%,+0.0237,9%,+0.0070,0%
Diversity + coverage,badge_lite,BADGE-Lite,+0.0135,38%,+0.0208,16%,+0.0533,0%
,,,,,,,,
Feature-space agreement,nn_agreement,NN-Agree,N/A,N/A,N/A,N/A,N/A,N/A
Feature-space agreement,nn_label_spreading,NN-LabelSpread,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,
Our methods,noise_score_budget_hybrid_v8,NGC,+0.0322,18%,+0.0872,0%,+0.0667,0%
Our methods,noise_score_cpba_only,CPBA-only,+0.0255,23%,+0.0851,0%,+0.1012,0%
Our methods,noise_score_tc_only,TC-only,+0.0232,20%,+0.0863,0%,+0.0645,0%
Our methods,noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,+0.0385,17%,+0.0842,0%,+0.0993,0%
Our methods,noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,+0.0349,20%,+0.0842,0%,+0.0993,0%
,,,,,,,,
Oracle diagnostic,oracle_noise_group_balanced,Oracle-GB,+0.0626,9%,+0.0998,0%,+0.1184,0%
Oracle diagnostic,oracle_minority,Oracle-minority,+0.0755,2%,N/A,N/A,N/A,N/A
,,,,,,,,
