method,label,noise_name,mean_dwga,sem_dwga,neg_seed_pct,n_seeds
noise_score,NoiseScore,uniform20,-0.002154,0.010508,40.0,50
noise_score,NoiseScore,minority_high_40,0.053578,0.010989,18.0,50
noise_score,NoiseScore,class0_high_40,-0.045264,0.019207,50.0,50
noise_score_budget_hybrid_v8,NGC,uniform20,0.042808,0.006671,12.0,50
noise_score_budget_hybrid_v8,NGC,minority_high_40,0.052106,0.010433,18.0,50
noise_score_budget_hybrid_v8,NGC,class0_high_40,0.01912,0.00781,28.0,50
noise_score_cpba_only,CPBA-only,uniform20,0.007176,0.009706,32.0,50
noise_score_cpba_only,CPBA-only,minority_high_40,0.072383,0.011787,8.0,50
noise_score_cpba_only,CPBA-only,class0_high_40,-0.045264,0.019207,50.0,50
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,uniform20,0.032807,0.006932,18.0,50
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,minority_high_40,0.075617,0.012658,8.0,50
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,class0_high_40,0.017067,0.007174,34.0,50
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,uniform20,0.034153,0.006572,16.0,50
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,minority_high_40,0.064302,0.01309,18.0,50
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,class0_high_40,0.015129,0.008133,34.0,50
