method,label,noise_name,mean_swapped,mean_original,mean_diff,ci_low,ci_high,n_pairs,n_seeds,p_value
entropy,Entropy,minority_high_40,0.056458199501281295,0.05889780411822805,-0.00244,-0.027589,0.022709,50,10,0.844705
entropy,Entropy,uniform20,0.028317757009345766,0.011744548286604357,0.016573,0.004219,0.028928,50,10,0.008934
loss,Loss,minority_high_40,-0.04681284235102333,-0.02656331723894976,-0.02025,-0.0469,0.006401,50,10,0.129411
loss,Loss,uniform20,-0.007080022932769683,-0.012309965393621614,0.00523,-0.006335,0.016795,50,10,0.363123
noise_score,NoiseScore,minority_high_40,0.05357839622576341,0.044631673470515484,0.008947,-0.016615,0.034508,50,10,0.480761
noise_score,NoiseScore,uniform20,-0.002154271228353757,-0.023035428366178303,0.020881,0.006145,0.035617,50,10,0.005939
noise_score_budget_hybrid_v8,NGC,minority_high_40,0.05210611241201619,0.04608621892506094,0.00602,-0.018733,0.030773,50,10,0.623734
noise_score_budget_hybrid_v8,NGC,uniform20,0.04280847683583036,0.018278412112923165,0.02453,0.010911,0.038149,50,10,0.000624
noise_score_cpba_only,CPBA-only,minority_high_40,0.0723830048835747,0.06806812137790023,0.004315,-0.02312,0.031749,50,10,0.750876
noise_score_cpba_only,CPBA-only,uniform20,0.007176105711779271,-0.017066470494781407,0.024243,0.007888,0.040598,50,10,0.004132
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,minority_high_40,0.07561653922401582,0.06795764345069107,0.007659,-0.019752,0.03507,50,10,0.57317
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,uniform20,0.03280717823320965,0.008983622410565655,0.023824,0.01113,0.036517,50,10,0.000388
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,minority_high_40,0.06430152447658713,0.05459391729006498,0.009708,-0.021858,0.041273,50,10,0.535325
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,uniform20,0.0341525996228526,0.015200917310787383,0.018952,0.006868,0.031036,50,10,0.002527
oracle_noise_group_balanced,Oracle-GB,minority_high_40,0.08705381602669039,0.08895534326626184,-0.001902,-0.031187,0.027384,50,10,0.895675
oracle_noise_group_balanced,Oracle-GB,uniform20,0.06109392074379534,0.03614650724247258,0.024947,0.00948,0.040415,50,10,0.001948
random,Random,minority_high_40,-0.004278881820254049,0.009255237582112443,-0.013534,-0.031657,0.004589,50,10,0.135959
random,Random,uniform20,0.006355140186915872,-0.002619778823106816,0.008975,-0.000845,0.018795,50,10,0.069579
