method,label,waterbirds_mean,celeba_mean,civilcomments_mean,macro_mean,conditions_waterbirds,conditions_celeba,conditions_civilcomments
random,Random,0.0095,-0.0006,0.0015,0.0035,100,80,80
loss,Loss,0.0054,0.0235,0.0670,0.0319,100,80,80
entropy,Entropy,0.0369,0.0257,0.0098,0.0241,100,80,80
forgetting,Forgetting,0.0289,0.0825,0.0672,0.0595,100,80,80
aum,AUM,0.0038,0.0134,0.0594,0.0255,100,80,80
confident_learning,Cleanlab,0.0054,0.0235,0.0670,0.0319,100,80,80
coreset,Coreset-Lite,0.0026,0.0000,0.0000,0.0009,100,80,80
uncertainty_diversity,Unc+Div-Lite,0.0278,0.0228,0.0097,0.0201,100,80,80
badge_lite,BADGE-Lite,0.0127,0.0217,0.0666,0.0336,100,80,80
nn_agreement,NN-Agree,0.0102,-0.0092,0.0241,0.0084,100,80,80
nn_label_spreading,NN-LabelSpread,0.0249,-0.0123,0.0090,0.0072,100,80,80
noise_score,NoiseScore,0.0458,0.0854,0.0509,0.0607,100,80,80
noise_score_budget_hybrid_v8,NGC,0.0486,0.0852,0.0497,0.0612,100,80,80
noise_score_cpba_only,RCV-Cal,0.0599,0.0807,0.0726,0.0711,100,80,80
noise_score_cpba_tc_no_fallback,RCV-Cov,0.0601,0.0809,0.0708,0.0706,100,80,80
noise_score_cpba_tc_v8_fallback,RCV-Guarded,0.0547,0.0809,0.0708,0.0688,100,80,80
oracle_noise_group_balanced,Oracle-GB,0.1067,0.0920,0.0921,0.0969,100,80,80
