method,label,Waterbirds_mean,Waterbirds_sem,Waterbirds_n,Waterbirds_neg_pct,CelebA_mean,CelebA_sem,CelebA_n,CelebA_neg_pct,CivilComments_mean,CivilComments_sem,CivilComments_n,CivilComments_neg_pct,macro_mean,macro_sem
random,Random,0.003318,0.002519,100,51.0,0.002724,0.001287,100,29.0,0.002716,0.000453,100,28.0,0.002919,0.000952
loss,Loss,-0.019437,0.005111,100,73.0,0.027553,0.002707,100,9.0,0.087943,0.005313,100,0.0,0.03202,0.003642
entropy,Entropy,0.035321,0.006093,100,20.0,0.032808,0.00259,100,4.0,0.011675,0.000949,100,5.0,0.026602,0.002305
stratified_random,StratifiedRandom,,,0,,,,0,,,,0,,,
forgetting,Forgetting,0.024178,0.005514,80,27.5,0.083799,0.003212,80,0.0,0.05643,0.004676,80,0.0,0.054802,0.003063
margin,Margin,0.006599,0.004668,80,33.8,0.022174,0.002908,80,15.0,0.053665,0.003986,80,0.0,0.027479,0.002586
aum,AUM,0.003895,0.004486,80,33.8,0.010567,0.003544,80,27.5,0.045819,0.003455,80,0.0,0.020093,0.002516
confident_learning,Cleanlab,0.006599,0.004668,80,33.8,0.022174,0.002908,80,15.0,0.053665,0.003986,80,0.0,0.027479,0.002586
nn_agreement,NN-Agree,,,0,,,,0,,,,0,,,
nn_label_spreading,NN-LabelSpread,,,0,,,,0,,,,0,,,
coreset,Coreset-Lite,-0.006502,0.003313,80,48.8,0.0,0.0,80,0.0,0.0,0.0,80,0.0,-0.002167,0.001117
uncertainty_diversity,Unc+Div-Lite,0.013296,0.005205,80,45.0,0.023703,0.002679,80,8.8,0.007045,0.000514,80,0.0,0.014681,0.002001
badge_lite,BADGE-Lite,0.013456,0.004068,80,37.5,0.020824,0.002881,80,16.2,0.053333,0.004016,80,0.0,0.029204,0.002402
noise_score,NoiseScore,0.010798,0.007336,100,28.0,0.087779,0.002706,100,0.0,0.067118,0.003705,100,0.0,0.055231,0.003435
noise_score_budget_hybrid_v8,NGC,0.032182,0.005322,100,18.0,0.087171,0.002676,100,0.0,0.066667,0.00372,100,0.0,0.062007,0.002677
noise_score_cpba_only,CPBA-only,0.025501,0.008347,100,23.0,0.085092,0.003107,100,0.0,0.101188,0.006319,100,0.0,0.070594,0.004087
noise_score_cpba_tc_no_fallback,CPBA-TC-noFB,0.038471,0.006848,100,17.0,0.0842,0.003051,100,0.0,0.099302,0.006277,100,0.0,0.073991,0.003576
noise_score_cpba_tc_v8_fallback,CPBA-TC-Guarded,0.034897,0.006385,100,20.0,0.0842,0.003051,100,0.0,0.099302,0.006277,100,0.0,0.0728,0.003522
oracle_noise_group_balanced,Oracle-GB,0.062551,0.007154,100,9.0,0.099838,0.004388,100,0.0,0.118408,0.007312,100,0.0,0.093599,0.003934
